InstanceID	R_0	R_1	R_2	R_3	R_4	R_5	Class
597	204.6049912734315	1307.63523860861	250.91458657059997	399.30539878665763	1151.49710784935	1012.3279835637287	0
1696	302.55308720764543	1030.7065284718926	230.93977682707495	439.8976102285142	1272.2265821096007	790.3719308803627	0
1077	405.0632974885574	1552.5208472954014	282.1578046928607	375.4755516750861	944.6823726177652	1193.099103159172	0
4124	386.9540266048679	1535.039796804207	303.8007451680199	363.3063314545858	978.9505815985978	1194.79148329222	0
1786	401.8818652317061	1532.6852109157494	313.63199346683575	348.2991046628456	1132.0635551496525	1207.3296433907935	0
1922	427.1255322039454	1608.5082082602642	333.6089284769848	399.59440503195736	995.3398845052611	1236.014546807237	0
1410	58.36885234296961	1245.935442753476	253.2062925083119	366.663349520954	996.1024974882878	993.2616221262105	0
2862	56.38379014449289	1040.1020190540307	173.64741769582966	331.93129378808254	1188.5771693330232	841.8309622539052	0
3508	129.23168357361578	1304.035749540783	224.88906206512513	315.10679485178366	982.9641716911277	1027.2472973805666	0
3617	153.2920699646545	1041.8533434455337	104.36742800666907	299.87586112109267	722.6010271716588	848.1226772991288	0
3293	398.7769479485042	1482.8217314221818	246.62476184891793	373.1320941584172	766.7519606868591	1155.0261075993053	0
3422	357.0134385699974	1485.916295636102	224.82196672601071	363.70513072553257	596.9450070859083	1165.844594484978	0
861	249.9655179841501	1289.6586255888049	184.6973594714961	303.45809208259016	1127.8260830219579	1035.7159968868805	0
823	238.65820648139575	1391.2361233291665	164.32914063430587	324.8276555564203	1177.2957138082127	1019.8796820622417	0
1779	401.06267959079725	1550.3891662733663	315.74254469433674	351.69222283419816	1194.9832477615375	1196.5524911760942	0
51	184.53766400223745	1262.3066435305748	176.39437456282005	311.94992179546483	1219.7501443010283	1017.4548130006184	0
2493	417.08951734970384	1303.9636499942183	329.7806597323421	414.27217150611835	676.1771751367188	1001.4012944575483	0
4068	439.14626809342826	1595.51862423059	349.40457850031584	384.99019758895855	958.3194632275694	1211.9594273960313	0
2178	153.3788745433131	1002.2608732780192	111.08170768767243	299.02712432447635	722.607529199724	814.9050676489237	0
4143	395.99010904692636	1551.630253109911	309.8961130190787	400.3062453389924	832.067854435086	1200.5695249097557	0
1149	413.35661665427557	1534.845585190322	310.178100953633	376.307390585192	960.0729500677752	1191.347559058394	0
780	185.4682112593114	1102.3234418076024	127.44853874202917	318.05365370663696	956.384587502819	878.5823867299218	0
770	176.92007580171997	1094.4830691626464	127.46075356210147	318.07029057544025	923.9466054662838	873.713249163584	0
2797	103.62823145094778	1135.9606253798165	205.76804253090887	258.4790990504161	1232.4086915091398	911.451109099306	0
3966	458.42764965619745	1629.1720571820376	339.302550417679	407.02329393084557	1036.4457027599806	1267.8381195855459	0
540	326.8326690087286	888.6685980135518	219.80579838641265	354.404244002509	494.6420791636903	635.7681679424516	0
3884	290.76384970570933	1455.0463947367862	298.11132428417284	353.5907235913053	667.3357288898808	1137.5890021691946	0
2830	75.15665736234202	1040.1876198601801	184.51026877795445	318.15805622175554	1250.0233542549154	854.6393485591698	0
458	408.59482220324173	1100.6964265599509	320.48563956496906	345.92660625252876	1130.628776908483	908.917679827964	0
608	186.0361693336323	1300.7490765410864	220.24583273886796	420.21052372847004	1283.6571076312102	964.1817230455886	0
771	176.94846525751657	1094.5254765760353	127.4802548005644	318.1283931686766	937.8632717149928	877.7214476003654	0
3760	951.4745096703145	1092.6009991528283	774.2416804353651	929.2181962889699	1203.390794604535	1089.4985619590348	1
3401	361.9748454851208	1517.314425010601	183.72116030538774	376.5519585759953	589.0397752891645	1159.6598250062827	0
2565	493.766180988984	1617.2705993608695	333.28976374147703	442.341234084121	971.6666432914548	1267.8130061088204	0
1955	444.8811461506116	1678.0642158462283	331.8182791095979	369.62365686188855	1034.718801220511	1282.3026642295283	0
67	193.0363680804083	1374.8750032981497	155.09572905631197	312.06484505308794	800.2092777876055	1065.0366993455332	0
1952	447.7990602904915	1666.032987176982	320.2007360552602	336.169937226734	1010.1289460365172	1303.2005860358631	0
