R_0 R_1 R_2 Class
533.2000 27.8000 0.2800 0
513.8000 27.8000 0.3200 0
494.4000 27.8000 0.3600 0
475.0000 27.8000 0.4000 0
469.5000 27.7500 0.4000 0
464.0000 27.7000 0.4000 0
458.5000 27.6500 0.4000 0
453.0000 27.6000 0.4000 0
447.5000 27.5500 0.4000 0
442.0000 27.5000 0.4000 0
436.5000 27.4500 0.4000 0
431.0000 27.4000 0.4000 0
425.5000 27.3500 0.4000 0
420.0000 27.3000 0.4000 0
433.3000 27.2700 0.4500 0
446.6000 27.2400 0.5000 0
459.9000 27.2100 0.5500 0
473.2000 27.1800 0.6000 0
486.5000 27.1500 0.6500 0
499.8000 27.1200 0.7000 0
513.1000 27.0900 0.7500 0
526.4000 27.0600 0.8000 0
539.7000 27.0300 0.8500 0
553.0000 27.0000 0.9000 0
550.8000 26.9700 0.9900 0
548.6000 26.9400 1.0800 0
546.4000 26.9100 1.1700 0
544.2000 26.8800 1.2600 0
542.0000 26.8500 1.3500 0
539.8000 26.8200 1.4400 0
537.6000 26.7900 1.5300 0
535.4000 26.7600 1.6200 0
533.2000 26.7300 1.7100 0
531.0000 26.7000 1.8000 0
536.6000 26.6600 1.7500 0
542.2000 26.6200 1.7000 0
547.8000 26.5800 1.6500 0
553.4000 26.5400 1.6000 0
559.0000 26.5000 1.5500 0
564.6000 26.4600 1.5000 0
570.2000 26.4200 1.4500 0
575.8000 26.3800 1.4000 0
581.4000 26.3400 1.3500 0
587.0000 26.3000 1.3000 0
578.2000 26.3000 1.3000 0
569.4000 26.3000 1.3000 0
560.6000 26.3000 1.3000 0
551.8000 26.3000 1.3000 0
543.0000 26.3000 1.3000 0
534.2000 26.3000 1.3000 0
525.4000 26.3000 1.3000 0
516.6000 26.3000 1.3000 0
507.8000 26.3000 1.3000 0
499.0000 26.3000 1.3000 0
484.1000 26.2900 1.3000 0
469.2000 26.2800 1.3000 0
454.3000 26.2700 1.3000 0
439.4000 26.2600 1.3000 0
424.5000 26.2500 1.3000 0
409.6000 26.2400 1.3000 0
394.7000 26.2300 1.3000 0
379.8000 26.2200 1.3000 0
364.9000 26.2100 1.3000 0
350.0000 26.2000 1.3000 0
356.8000 26.1700 1.2600 0
363.6000 26.1400 1.2200 0
370.4000 26.1100 1.1800 0
377.2000 26.0800 1.1400 0
384.0000 26.0500 1.1000 0
390.8000 26.0200 1.0600 0
397.6000 25.9900 1.0200 0
404.4000 25.9600 0.9800 0
411.2000 25.9300 0.9400 0
418.0000 25.9000 0.9000 0
408.6000 25.9000 0.8500 0
399.2000 25.9000 0.8000 0
389.8000 25.9000 0.7500 0
380.4000 25.9000 0.7000 0
371.0000 25.9000 0.6500 0
361.6000 25.9000 0.6000 0
352.2000 25.9000 0.5500 0
342.8000 25.9000 0.5000 0
333.4000 25.9000 0.4500 0
324.0000 25.9000 0.4000 0
317.5000 25.8800 0.4500 0
311.0000 25.8600 0.5000 0
304.5000 25.8400 0.5500 0
298.0000 25.8200 0.6000 0
291.5000 25.8000 0.6500 0
285.0000 25.7800 0.7000 0
278.5000 25.7600 0.7500 0
272.0000 25.7400 0.8000 0
265.5000 25.7200 0.8500 0
259.0000 25.7000 0.9000 0
261.6000 25.6600 0.9000 0
264.2000 25.6200 0.9000 0
266.8000 25.5800 0.9000 0
269.4000 25.5400 0.9000 0
272.0000 25.5000 0.9000 0
274.6000 25.4600 0.9000 0
277.2000 25.4200 0.9000 0
279.8000 25.3800 0.9000 0
282.4000 25.3400 0.9000 0
285.0000 25.3000 0.9000 0
304.0000 25.2900 0.9000 0
323.0000 25.2800 0.9000 0
342.0000 25.2700 0.9000 0
361.0000 25.2600 0.9000 0
380.0000 25.2500 0.9000 0
399.0000 25.2400 0.9000 0
418.0000 25.2300 0.9000 0
437.0000 25.2200 0.9000 0
456.0000 25.2100 0.9000 0
475.0000 25.2000 0.9000 0
485.2000 25.2200 0.9400 0
495.4000 25.2400 0.9800 0
505.6000 25.2600 1.0200 0
515.8000 25.2800 1.0600 0
526.0000 25.3000 1.1000 0
536.2000 25.3200 1.1400 0
546.4000 25.3400 1.1800 0
556.6000 25.3600 1.2200 0
566.8000 25.3800 1.2600 0
577.0000 25.4000 1.3000 0
555.0000 25.4200 1.3000 0
533.0000 25.4400 1.3000 0
511.0000 25.4600 1.3000 0
489.0000 25.4800 1.3000 0
467.0000 25.5000 1.3000 0
445.0000 25.5200 1.3000 0
423.0000 25.5400 1.3000 0
401.0000 25.5600 1.3000 0
379.0000 25.5800 1.3000 0
357.0000 25.6000 1.3000 0
342.3000 25.5700 1.3000 0
327.6000 25.5400 1.3000 0
312.9000 25.5100 1.3000 0
298.2000 25.4800 1.3000 0
283.5000 25.4500 1.3000 0
268.8000 25.4200 1.3000 0
254.1000 25.3900 1.3000 0
239.4000 25.3600 1.3000 0
224.7000 25.3300 1.3000 0
210.0000 25.3000 1.3000 0
211.2000 25.2800 1.2600 0
212.4000 25.2600 1.2200 0
213.6000 25.2400 1.1800 0
214.8000 25.2200 1.1400 0
216.0000 25.2000 1.1000 0
217.2000 25.1800 1.0600 0
218.4000 25.1600 1.0200 0
219.6000 25.1400 0.9800 0
220.8000 25.1200 0.9400 0
222.0000 25.1000 0.9000 0
211.7000 25.0800 0.9000 0
201.4000 25.0600 0.9000 0
191.1000 25.0400 0.9000 0
180.8000 25.0200 0.9000 0
170.5000 25.0000 0.9000 0
160.2000 24.9800 0.9000 0
149.9000 24.9600 0.9000 0
139.6000 24.9400 0.9000 0
129.3000 24.9200 0.9000 0
119.0000 24.9000 0.9000 0
116.2000 24.8600 0.8100 0
113.4000 24.8200 0.7200 0
110.6000 24.7800 0.6300 0
107.8000 24.7400 0.5400 0
105.0000 24.7000 0.4500 0
102.2000 24.6600 0.3600 0
99.4000 24.6200 0.2700 0
96.6000 24.5800 0.1800 0
93.8000 24.5400 0.0900 0
91.0000 24.5000 0.0000 0
90.9000 24.4700 0.0400 0
90.8000 24.4400 0.0800 0
90.7000 24.4100 0.1200 0
90.6000 24.3800 0.1600 0
90.5000 24.3500 0.2000 0
90.4000 24.3200 0.2400 0
90.3000 24.2900 0.2800 0
90.2000 24.2600 0.3200 0
90.1000 24.2300 0.3600 0
90.0000 24.2000 0.4000 0
89.0000 24.1700 0.4000 0
88.0000 24.1400 0.4000 0
87.0000 24.1100 0.4000 0
86.0000 24.0800 0.4000 0
85.0000 24.0500 0.4000 0
84.0000 24.0200 0.4000 0
83.0000 23.9900 0.4000 0
82.0000 23.9600 0.4000 0
81.0000 23.9300 0.4000 0
80.0000 23.9000 0.4000 0
79.7000 23.8800 0.3600 0
79.4000 23.8600 0.3200 0
79.1000 23.8400 0.2800 0
78.8000 23.8200 0.2400 0
78.5000 23.8000 0.2000 0
78.2000 23.7800 0.1600 0
77.9000 23.7600 0.1200 0
77.6000 23.7400 0.0800 0
77.3000 23.7200 0.0400 0
77.0000 23.7000 0.0000 0
73.9000 23.6900 0.0000 0
70.8000 23.6800 0.0000 0
67.7000 23.6700 0.0000 0
64.6000 23.6600 0.0000 0
61.5000 23.6500 0.0000 0
58.4000 23.6400 0.0000 0
55.3000 23.6300 0.0000 0
52.2000 23.6200 0.0000 0
49.1000 23.6100 0.0000 0
46.0000 23.6000 0.0000 0
44.4000 23.5800 0.0000 0
42.8000 23.5600 0.0000 0
41.2000 23.5400 0.0000 0
39.6000 23.5200 0.0000 0
38.0000 23.5000 0.0000 0
36.4000 23.4800 0.0000 0
34.8000 23.4600 0.0000 0
33.2000 23.4400 0.0000 0
31.6000 23.4200 0.0000 0
30.0000 23.4000 0.0000 0
30.2000 23.3800 0.0400 0
30.4000 23.3600 0.0800 0
30.6000 23.3400 0.1200 0
30.8000 23.3200 0.1600 0
31.0000 23.3000 0.2000 0
