InstanceID	R_0	R_1	R_2	R_3	Class
29288	840.1402186960518	7235.174038013747	1084.3535025283577	1022.3361346066582	0
36416	840.1484461840591	7019.416344899908	1198.405252525849	1052.2295242032937	0
22785	423.48383155067484	4388.190132891149	764.8750846123448	815.1549767933645	0
28006	692.0721453324413	6919.73513993125	1206.573481769116	1065.2626456741464	0
20378	239.3316436390102	7169.208466769175	816.2658621069382	827.3371710359476	0
30110	297.21881401516134	7271.032373028521	600.5903576451574	1066.290949790586	0
15088	597.671977395607	3196.5538642739334	586.2733903331283	981.0294562160941	0
33836	737.6206817675519	6761.28381527213	955.8763460004345	825.4573922970958	0
8026	209.3266964124694	972.6537471369586	402.72202700796174	503.12229449307523	1
3646	734.485191445754	7164.8272144659395	1195.8720455545274	823.621187501321	0
34819	667.7891752698952	6392.88614998064	1149.8416820836503	1016.9850557065735	0
5464	804.0034039481509	6884.337201535253	1047.5390034024326	824.8449179510651	0
26404	829.0864901578211	6396.812349714478	1208.3350058586618	990.579330175547	0
35045	863.8917965705975	7045.137457697956	1203.4108698050281	1025.2335816509808	0
29714	808.842838996406	4126.513541348046	1148.4866797193922	900.9060175262194	0
4357	517.2075129774662	1697.7792598692517	835.1201558402307	1050.3137079535154	0
34412	738.6102746025953	6765.234093898093	1202.6373265267232	1048.1297713969227	0
9372	302.64565785740507	6751.457454372861	866.9808124912338	825.0788257197596	0
34346	237.3426190757703	5706.757204852248	1126.385818342186	921.4243352633956	0
30509	859.9450398149053	7252.528444656415	830.2626436158416	908.3074482897586	0
22118	297.2271800664287	7054.143961326386	738.6927066820771	828.1793108194464	0
2921	629.3782518277818	4487.482642762993	998.4558672431278	979.8952502484381	0
31692	300.70908718414165	7264.099083624604	886.325596808253	935.5179388434037	0
21272	410.9533129040585	7269.584805487449	1160.7472450560479	826.2347551897935	0
12869	863.7472628416957	5937.411413255431	1088.3648945428395	1023.5661079089476	0
14965	841.4045368796347	7205.614273737978	1217.839861167554	1026.6412938585277	0
34805	344.9558261377281	6366.336923522058	1053.0346119122999	858.8493410513637	0
11325	285.88661160334925	3634.7693094921005	1197.7476025129565	814.3438581467519	0
23918	300.28329770618654	6701.719169776052	781.2504792082672	930.6208081534276	0
11148	846.9016985571868	7020.409204071948	1205.3498159671665	824.3403675337381	0
2708	708.1372801653607	5614.410415366069	1195.246449547979	920.6901714003677	0
4224	783.787007301547	6764.639236668783	1000.9431392458206	825.3969708478891	0
5945	628.7644380610122	7176.274594140772	1128.9088289165124	1067.40359863867	0
17038	739.4304808909046	6773.320634180099	790.8565529886679	1065.379576999065	0
11089	232.00252287161382	6954.23731714118	887.4296725390183	827.5070632903067	0
16258	856.8144127112613	6058.906609715233	1000.2455192752078	1043.600763114761	0
14273	295.0661333216687	7100.983867006015	849.4024726530031	828.5427453779482	0
31723	668.9949823013746	4595.958807328114	1174.8801406229438	808.3281931077751	0
27131	855.4372387450136	6819.45432285236	1003.4537840682871	999.3138344823526	0
35901	708.6151643022088	5804.420479536269	896.6891537862166	912.4257106059239	0
1225	232.02434944144093	6913.629974453392	750.3012986567895	827.5810655123786	0
21215	769.3861765333212	3141.3800447859235	912.5137763210346	1036.6771896316686	0
28544	415.90531782719955	5940.200466927402	1169.0425458773193	1023.7970493147277	0
26431	274.1669753660616	7174.098502929675	799.5380162523883	828.6087767845479	0
467	467.1112653473994	6538.347142544535	1169.1421736359712	819.6126210011765	0
1853	863.9756630285949	4904.570473495001	1156.7777325405627	1054.705382936928	0
13542	262.38304370192594	7207.275430171198	799.5594301815025	830.6542965063403	0
36156	298.61864241310343	3972.4877130759864	911.6723304040045	916.0804305609813	0
4896	226.50951247744607	7255.402331234981	887.5291206536477	829.6868232979799	0
9277	836.4759614325343	6698.549860931384	1205.3701192702229	1066.7708484976297	0
22591	851.3583803162636	6796.471117371786	1107.648245190662	823.7108486115799	0
27340	833.9732717365425	6421.890446421942	850.6970002464176	915.4379061142637	0
20964	299.7327564285787	4547.125454174381	1171.3550620918058	814.7555519085498	0
11781	710.4341973903811	3556.758308317875	683.1875986432341	1037.8243595036333	0
5683	754.0938459753618	6769.20995828976	1210.8620902778734	824.7799086747211	0
15613	831.4764220252955	6542.914251350955	996.9533635810376	1045.9190823250574	0
14125	304.1830289018827	6646.442053786641	1117.6603221991559	822.7774784306944	0
31177	234.07116775505952	6712.691123575448	739.8687097998423	823.8431429693072	0
679	386.2041643795707	6448.529649683893	976.0114315207232	1060.8748092474932	0
23729	633.6568123093487	4840.389939965277	497.84480659280126	1013.0759383654826	0
30797	861.1123803553014	5536.632514935566	1198.1294623023616	909.8771927386189	0
13420	328.72353258685047	6674.2045142217485	959.9962552252276	819.887668222822	0
33304	600.3068218495861	6126.556382930103	1211.075026201574	863.2726958674652	0
