Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[1]	[[-136.4, 437.46000000000004]]	0	0.994175494871903	0.994175494871903	1	648.4309611483145	199999	165464	0.25	648.4309611483145	23555	23693	23555	23693	0
[0]	[[0.5774455, 0.7697545]]	0	0.9893691181596375	0.9893691181596375	4	725.9254338237945	199988	165592	0.25	2903.701735295178	11354	11476	11354	11476	0
[0]	[[0.295211, 0.48258900000000005]]	0	0.9006124505775641	0.9006124505775641	1	629.4610768774263	199970	165635	0.25	629.4610768774263	11617	12899	11617	12899	0
[1]	[[-136.4, 529.5]]	0	0.9864651824508787	0.9864651824508787	1	648.1521131438152	199999	165732	0.25	648.1521131438152	25655	26007	25655	26007	0
[1]	[[-5.940000000000055, 907.94]]	0	0.9495686794956868	0.9495686794956868	1	667.9359131051103	199999	165776	0.25	667.9359131051103	31482	33154	31482	33154	0
[1]	[[-71.36000000000001, 583.36]]	0	0.9811633736360955	0.9811633736360955	1	648.1521116293421	199999	165965	0.25	648.1521116293421	26617	27128	26617	27128	0
[1]	[[-5.940000000000055, 1152.4011459060569]]	0	0.943086797785891	0.943086797785891	1	667.2939929384816	199999	166000	0.25	667.2939929384816	32031	33964	32031	33964	0
[1]	[[-131.3680055240364, 101.81309961112942]]	0	1.0	1.0	1	730.815413115435	199999	166581	0.25	730.815413115435	8157	8157	8157	8157	0
[0]	[[0.585735, 0.7336649999999999]]	0	0.9896058454255429	0.9896058454255429	1	724.2711271776383	199988	166717	0.25	724.2711271776383	9616	9717	9616	9717	0
[1]	[[129.22000000000003, 524.78]]	0	0.9789961986985375	0.9789961986985375	2	619.8287075525315	199958	166843	0.25	1239.657415105063	15195	15521	15195	15521	0
[1]	[[-11.519999999999982, 479.52]]	0	0.9910699312426631	0.9910699312426631	1	648.2804336570562	199999	166889	0.25	648.2804336570562	23639	23852	23639	23852	0
[1]	[[-136.4, 471.94000000000005]]	0	0.992014611561823	0.992014611561823	1	648.2804336570563	199999	167005	0.25	648.2804336570563	23355	23543	23355	23543	0
[1]	[[-126.14000000000001, 183.66751427571037]]	0	0.9999171087533156	0.9999171087533156	1	726.9719044335959	199999	167141	0.25	726.9719044335959	12063	12064	12063	12064	0
[1]	[[-131.3680055240364, 136.13942219321905]]	0	1.0	1.0	2	737.2021029727251	199999	167207	0.25	1474.4042059454503	9730	9730	9730	9730	0
[1]	[[-122.32, 259.96000000000004]]	0	0.999302738336714	0.999302738336714	1	723.1031021398879	199999	167260	0.25	723.1031021398879	15765	15776	15765	15776	0
[1]	[[216.66, 721.34]]	0	0.9365853658536586	0.9365853658536586	1	626.4792897388977	199958	167281	0.25	626.4792897388977	14208	15170	14208	15170	0
[0]	[[0.5175940000000001, 0.774006]]	0	0.974166778209075	0.974166778209075	6	716.6436188552732	199988	167370	0.25	4299.861713131639	14556	14942	14556	14942	0
[1]	[[-136.4, 605.04]]	0	0.9789922421076888	0.9789922421076888	3	648.1521116293421	199999	167821	0.25	1944.4563348880265	25491	26038	25491	26038	0
[1]	[[250.7, 1137.3]]	0	0.8941655359565808	0.8941655359565808	1	628.8543024400001	199988	168007	0.25	628.8543024400001	15157	16951	15157	16951	0
[1]	[[-18.819743494442875, 100.18960015352266]]	0	1.0	1.0	3	730.815413115435	199999	168021	0.25	2192.446239346305	7749	7749	7749	7749	0
[1]	[[-136.4, 239.06]]	0	0.9995831596498541	0.9995831596498541	1	723.1033724285838	199999	168207	0.25	723.1033724285838	14388	14394	14388	14394	0
[1]	[[-123.84046925266779, 170.5]]	0	1.0	1.0	3	729.2812340648466	199999	168259	0.25	2187.8437021945397	11017	11017	11017	11017	0
[1]	[[489.28, 1116.72]]	0	0.8170573683590528	0.8170573683590528	1	690.7462298790681	199988	168330	0.25	690.7462298790681	6936	8489	6936	8489	0
[1]	[[-24.58000000000004, 916.58]]	0	0.9492430408595149	0.9492430408595149	1	667.9359131051103	199999	168381	0.25	667.9359131051103	29156	30715	29156	30715	0
[1]	[[229.0, 911.0]]	0	0.9084662723307642	0.9084662723307642	1	627.2434106337826	199958	168509	0.25	627.2434106337826	15205	16737	15205	16737	0
[1]	[[-136.4, 162.81524355165192]]	0	1.0	1.0	3	729.2872939382115	199999	168550	0.25	2187.8618818146347	10549	10549	10549	10549	0
[3]	[[3.05, 4.788506681780855]]	0	0.9753645047762695	0.9753645047762695	5	628.2691023114318	199937	168649	0.25	3141.3455115571587	1940	1989	1940	1989	0
[1]	[[613.0799999999999, 1376.92]]	0	0.7908666320705761	0.7908666320705761	1	690.0716787896123	199988	168811	0.25	690.0716787896123	4572	5781	4572	5781	0
[0]	[[0.534456, 0.7820819999999999]]	0	0.9772710336090618	0.9772710336090618	1	717.1405922252818	199988	168828	0.25	717.1405922252818	13114	13419	13114	13419	0
[1]	[[26.7743891517327, 170.5]]	0	1.0	1.0	3	727.2471792349437	199999	168951	0.25	2181.741537704831	7302	7302	7302	7302	0
[1]	[[-131.3680055240364, 506.22751295484227]]	0	0.9886705303063315	0.9886705303063315	1	648.2586770112741	199999	169089	0.25	648.2586770112741	22689	22949	22689	22949	0
[1]	[[96.98000000000002, 929.02]]	0	0.9321669736034377	0.9321669736034377	1	656.7508662101178	199970	169193	0.25	656.7508662101178	21259	22806	21259	22806	0
[1]	[[542.58, 965.42]]	0	0.8098030371372726	0.8098030371372726	1	714.3040792684304	199948	169205	0.25	714.3040792684304	5386	6651	5386	6651	0
[3]	[[-0.76, 1.1019999999999999]]	0	0.9404234892527601	0.9404234892527601	3	644.7935258872228	199999	169350	0.25	1934.3805776616684	17632	18749	17632	18749	0
[0]	[[0.47707, 0.77293]]	0	0.9635451302823288	0.9635451302823288	3	711.391978404857	199988	169417	0.25	2134.175935214571	15938	16541	15938	16541	0
[1]	[[-136.4, 256.6]]	0	0.9995188342040143	0.9995188342040143	1	723.1031021539186	199999	169541	0.25	723.1031021539186	14541	14548	14541	14548	0
[0]	[[0.585735, 0.7450995]]	0	0.9903302129410555	0.9903302129410555	5	727.9724703695872	199988	169632	0.25	3639.862351847936	9627	9721	9627	9721	0
[1]	[[-66.87479515162397, 101.81309961112942]]	0	1.0	1.0	1	730.815413115435	199999	169804	0.25	730.815413115435	7356	7356	7356	7356	0
[1]	[[10.379999999999995, 569.62]]	0	0.9815465729349736	0.9815465729349736	2	645.5510182122213	199999	169865	0.25	1291.1020364244425	21223	21622	21223	21622	0
[1]	[[-136.4, 286.44]]	0	0.9991685853159376	0.9991685853159376	2	674.567154261018	199999	169880	0.25	1349.134308522036	15623	15636	15623	15636	0
[2]	[[16.310000000000002, 25.6975]]	0	0.9585619236605579	0.9585619236605579	2	660.0119247746168	199999	169923	0.25	1320.0238495492335	16424	17134	16424	17134	0
[1]	[[817.04, 1198.96]]	0	0.756811301715439	0.756811301715439	2	594.2225635256457	199988	169948	0.25	1188.4451270512914	1500	1982	1500	1982	0
[1]	[[639.72, 824.1700264880762]]	0	0.8051665110488639	0.8051665110488639	1	719.0174941195429	199948	169980	0.25	719.0174941195429	2587	3213	2587	3213	0
[1]	[[-136.4, 455.12]]	0	0.9931484036732169	0.9931484036732169	1	648.4309611485108	199999	170020	0.25	648.4309611485108	20873	21017	20873	21017	0
[1]	[[-136.4, 394.6]]	0	0.9965756978312753	0.9965756978312753	1	648.671595302643	199999	170174	0.25	648.671595302643	19208	19274	19208	19274	0
[1]	[[-136.4, 144.86126658067968]]	0	1.0	1.0	4	737.2021058804729	199999	170357	0.25	2948.8084235218917	9147	9147	9147	9147	0
[2]	[[18.612499999999997, 29.7875]]	0	0.9443911135490949	0.9443911135490949	1	667.2939929380252	199999	170388	0.25	667.2939929380252	27546	29168	27546	29168	0
[1]	[[-120.6455535776524, 170.5]]	0	1.0	1.0	4	729.2812340648466	199999	170388	0.25	2917.1249362593862	10278	10278	10278	10278	0
[1, 2]	[[-119.19999999999999, 131.4499534493449], [26.0885, 30.111500000000003]]	0	1.0	1.0	1	770.632579735349	199265	170396	0.5	770.632579735349	1135	1135	1135	1135	0
[0]	[[0.5369215, 0.7686785]]	0	0.9794905184341174	0.9794905184341174	6	717.1405922484679	199988	170507	0.25	4302.843553490808	12035	12287	12035	12287	0
[1]	[[422.46, 1063.54]]	0	0.8375131717597472	0.8375131717597472	1	684.6579663893377	199988	170555	0.25	684.6579663893377	7948	9490	7948	9490	0
[3]	[[3.4806106334610187, 4.086899396243858]]	0	0.9807938540332907	0.9807938540332907	13	605.2891883511105	199937	170617	0.25	7868.759448564437	766	781	766	781	0
[3]	[[3.4806106334610187, 5.0607401714933005]]	0	0.9808988764044944	0.9808988764044944	6	603.1524429982061	199937	170700	0.25	3618.9146579892367	873	890	873	890	0
