Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[0, 2]	[[-130.06, 160.03980377558884], [-0.679, 1.39195]]	0	1.0	1.0	3	1158.4043650551034	49977	6699	0.6666666666666666	3495.0163689566375	6795	6795	1585	1585	1
[1]	[[19.069000000000003, 25.8104]]	0	0.5712410292315772	0.5712410292315772	2	1182.2729847601754	49977	6766	0.3333333333333333	2320.6688708992942	13054	22852	3054	5339	1
[2]	[[2.3833499999999996, 4.21665]]	0	0.6125032291397572	0.6125032291397572	8	1191.1373534702548	49931	6875	0.3333333333333333	9529.098827762038	2371	3871	553	903	1
[0]	[[505.687, 1429.1129999999998]]	1	0.7689250846293479	0.7689250846293479	1	1180.1486314638428	49986	6952	0.3333333333333333	1205.899670827818	15673	20383	3669	4771	1
[2]	[[1.57385, 4.08615]]	0	0.5434803969735679	0.5434803969735679	3	1195.6309902155422	49931	6964	0.3333333333333333	3587.290958294192	5531	10177	1296	2382	1
[0, 2]	[[-130.06, 85.81764880444229], [-0.679, 1.52775]]	0	1.0	1.0	5	1153.400458141164	49900	7011	0.6666666666666666	5793.752863382277	4799	4799	1132	1132	1
[2, 0, 1]	[[4.137344223767426, 4.60825], [247.801, 676.999], [26.467000000000002, 31.493]]	0	1.0	1.0	1	1079.278959104	48964	7085	1.0	1079.278959104	13	13	3	3	1
[0]	[[-130.06, 466.786]]	0	0.7651899339776098	0.7651899339776098	2	1174.5105212369886	49990	7092	0.3333333333333333	2323.956003089819	15994	20902	3766	4915	1
[0]	[[42.78899999999999, 524.011]]	1	0.3193825910931174	0.3193825910931174	1	1187.4508121247438	49976	7136	0.3333333333333333	1175.291785048657	6311	19760	1480	4645	1
[0]	[[662.0920000000001, 1130.308]]	1	0.807668617185094	0.807668617185094	3	1163.737130790602	49986	7157	0.3333333333333333	3590.7642404647568	10490	12988	2463	3052	1
[0]	[[162.305, 1007.6949999999999]]	1	0.6128928519222336	0.6128928519222336	1	1177.6090332625915	49986	7184	0.3333333333333333	1186.4151553070044	20964	34205	4926	8044	1
[0]	[[-130.06, 275.226]]	0	0.9190321815450304	0.9190321815450304	1	1154.3227811412603	49977	7199	0.3333333333333333	1142.5419461456554	11623	12647	2747	2988	1
[1]	[[17.728, 23.472]]	0	0.6837786661056175	0.6837786661056175	1	1141.9844634705478	49962	7266	0.3333333333333333	1117.538224172731	6500	9506	1538	2244	1
[2]	[[1.44755, 3.5524500000000003]]	0	0.5331739961759082	0.5331739961759082	5	1196.2990639860373	49943	7336	0.3333333333333333	5985.342421738644	5577	10460	1319	2470	1
[0, 2]	[[-130.06, 160.03980377558884], [-0.679, 1.1543]]	0	1.0	1.0	3	1158.2528960590826	49977	7367	0.6666666666666666	3494.4483602215596	6257	6257	1482	1482	1
[0]	[[699.616, 1063.784]]	1	0.8139556040756915	0.8139556040756915	1	1161.204108730603	49986	7383	0.3333333333333333	1193.7551359132535	8947	10992	2112	2597	1
[0]	[[723.813, 1100.9869999999999]]	1	0.8184276414621933	0.8184276414621933	1	1161.2192851842979	49986	7425	0.3333333333333333	1193.7741064803722	8172	9985	1932	2361	1
[0]	[[199.716, 591.0529999999999]]	0	0.5103557219751931	0.5103557219751931	5	1191.3153775400237	49990	7436	0.3333333333333333	5863.460958958239	8723	17092	2064	4043	1
[1]	[[23.387, 28.412999999999997]]	1	0.5374884926182277	0.5374884926182277	1	1190.751589213825	49986	7453	0.3333333333333333	1205.5343216469764	15764	29329	3735	6951	1
[2]	[[-0.2543000000000001, 2.0543]]	1	0.5156335861083635	0.5156335861083635	2	1169.3127751360819	49986	7453	0.3333333333333333	2352.132500840209	18767	36396	4441	8626	1
[0]	[[560.771, 1120.029]]	1	0.7842255125284738	0.7842255125284738	1	1171.0019265858955	49986	7473	0.3333333333333333	1193.5030102904618	13771	17560	3261	4161	1
[0]	[[232.18400000000003, 1168.616]]	1	0.6560328490208465	0.6560328490208465	1	1176.8396919349839	49986	7501	0.3333333333333333	1190.1843717002253	20770	31660	4918	7501	1
[0]	[[-130.06, 254.096]]	0	0.9359952017821952	0.9359952017821952	2	1153.438586372541	49977	7538	0.3333333333333333	2280.7665350221732	10924	11671	2602	2780	1
[0, 2]	[[-130.06, 160.03980377558884], [-0.679, 2.54625]]	0	1.0	1.0	4	1160.8388318015298	49977	7625	0.6666666666666666	4672.1941590076485	7523	7523	1795	1795	1
[0, 1]	[[-130.06, 160.03980377558884], [22.5652, 27.734799999999996]]	0	1.0	1.0	2	1243.313004556571	49977	7647	0.6666666666666666	2486.626009113142	4359	4359	1039	1039	1
[0]	[[-130.06, 85.81764880444229]]	0	1.0	1.0	14	1157.370631314563	49943	7690	0.3333333333333333	16291.986048004854	5255	5255	1260	1260	1
[2]	[[1.5501499999999997, 4.46985]]	0	0.5448370902647899	0.5448370902647899	1	1195.6309902155422	49931	7701	0.3333333333333333	1195.7636527647308	5535	10159	1319	2419	1
[0]	[[560.874, 1107.126]]	1	0.7843913068409886	0.7843913068409886	1	1171.0019265858955	49986	7741	0.3333333333333333	1193.5030102904618	13679	17439	3260	4157	1
[0]	[[-130.06, 188.58699999999996]]	0	0.9940079140757491	0.9940079140757491	2	1159.4917454516956	49977	7746	0.3333333333333333	2332.729363629239	8792	8845	2104	2117	1
[2]	[[-0.010600000000000165, 1.8906]]	1	0.5165502753647874	0.5165502753647874	2	1169.3127736591678	49986	7756	0.3333333333333333	2352.132483234021	18196	35226	4339	8409	1
[0]	[[191.329, 932.671]]	1	0.6229119210326499	0.6229119210326499	1	1194.234152184627	49986	7786	0.3333333333333333	1186.6099938613272	19689	31608	4698	7543	1
[0, 1]	[[-130.06, 160.03980377558884], [19.385400000000004, 26.1346]]	0	1.0	1.0	3	1169.1159464095908	49977	7793	0.6666666666666666	3507.3478392287725	6471	6471	1549	1549	1
[1]	[[24.45, 31.63]]	1	0.5645920881031734	0.5645920881031734	2	1174.342466873313	49986	7804	0.3333333333333333	2395.3769750466395	15585	27604	3720	6589	1
[0, 1]	[[-98.47800000000001, 160.03980377558884], [19.316200000000002, 25.2038]]	0	1.0	1.0	6	1168.1774331617635	49977	7879	0.6666666666666666	7009.064598970581	5723	5723	1371	1371	1
[0]	[[212.11599999999999, 576.284]]	0	0.5112940275650842	0.5112940275650842	3	1185.4364239339463	49990	7951	0.3333333333333333	3531.2433393599586	8013	15672	1915	3749	1
[0]	[[400.738, 1309.301]]	1	0.7297408643348576	0.7297408643348576	1	1192.2139696460415	49986	7964	0.3333333333333333	1211.5028555811562	17713	24273	4250	5818	1
[0]	[[-130.06, 160.03980377558884]]	0	1.0	1.0	15	1160.8315830618217	49977	7980	0.3333333333333333	17520.592182409157	7802	7802	1875	1875	1
[0, 1]	[[-98.47800000000001, 160.03980377558884], [19.588, 25.332]]	0	1.0	1.0	6	1168.1877601240546	49977	8020	0.6666666666666666	7009.126560744327	5779	5779	1388	1388	1
[0, 2]	[[742.889, 860.217], [1.06755, 3.1724500000000004]]	1	0.8346744696415508	0.8346744696415508	5	1201.4809510884024	49929	8060	0.6666666666666666	6007.404755442012	2282	2734	547	655	1
[1, 0]	[[27.946, 32.254], [687.7110000000001, 130.06]]	1	0.1	1.0	1	534.5	8227	8227	0.6666666666666666	534.5	0	0	0	0	1
[2, 1]	[[3.01545, 4.98455], [21.6202, 30.3798]]	0	0.667986798679868	0.667986798679868	2	1194.7012051958513	49931	8338	0.6666666666666666	2389.4024103917027	1012	1515	243	367	1
[1]	[[24.4292, 32.4708]]	1	0.5642231947483589	0.5642231947483589	1	1174.3392831065025	49986	8359	0.3333333333333333	1197.6763424167739	15471	27420	3744	6635	1
[1]	[[25.81, 32.989999999999995]]	1	0.5832818612312127	0.5832818612312127	1	1171.1239077626662	49986	8567	0.3333333333333333	1190.528527107746	11332	19428	2755	4721	1
[1]	[[20.318800000000003, 25.2012]]	0	0.576207329603836	0.576207329603836	2	1190.9899589012502	49977	8661	0.3333333333333333	2363.2322211975106	10094	17518	2461	4273	1
[0]	[[787.907, 1191.093]]	1	0.8227657004830918	0.8227657004830918	3	1150.0148285284147	49986	8672	0.3333333333333333	3539.3056069815552	5450	6624	1327	1613	1
