R_0 R_1 R_2 Class
737.0000 26.2000 1.8000 0
728.0000 26.2500 1.7100 0
719.0000 26.3000 1.6200 0
710.0000 26.3500 1.5300 0
701.0000 26.4000 1.4400 1
692.0000 26.4500 1.3500 0
683.0000 26.5000 1.2600 0
674.0000 26.5500 1.1700 0
665.0000 26.6000 1.0800 0
656.0000 26.6500 0.9900 1
647.0000 26.7000 0.9000 0
625.8000 26.7100 1.0300 0
604.6000 26.7200 1.1600 0
583.4000 26.7300 1.2900 0
562.2000 26.7400 1.4200 1
541.0000 26.7500 1.5500 0
519.8000 26.7600 1.6800 0
498.6000 26.7700 1.8100 0
477.4000 26.7800 1.9400 0
456.2000 26.7900 2.0700 0
435.0000 26.8000 2.2000 0
490.4000 26.8000 2.2000 0
545.8000 26.8000 2.2000 0
601.2000 26.8000 2.2000 0
656.6000 26.8000 2.2000 0
712.0000 26.8000 2.2000 0
767.4000 26.8000 2.2000 0
822.8000 26.8000 2.2000 1
878.2000 26.8000 2.2000 0
933.6000 26.8000 2.2000 0
989.0000 26.8000 2.2000 0
945.4000 26.8200 2.2000 1
901.8000 26.8400 2.2000 0
858.2000 26.8600 2.2000 0
814.6000 26.8800 2.2000 0
771.0000 26.9000 2.2000 1
727.4000 26.9200 2.2000 0
683.8000 26.9400 2.2000 0
640.2000 26.9600 2.2000 0
596.6000 26.9800 2.2000 0
553.0000 27.0000 2.2000 0
571.0000 27.0100 2.2500 0
589.0000 27.0200 2.3000 0
607.0000 27.0300 2.3500 1
625.0000 27.0400 2.4000 1
643.0000 27.0500 2.4500 0
661.0000 27.0600 2.5000 0
679.0000 27.0700 2.5500 0
697.0000 27.0800 2.6000 0
715.0000 27.0900 2.6500 1
733.0000 27.1000 2.7000 0
699.8000 27.1000 2.7000 0
666.6000 27.1000 2.7000 0
633.4000 27.1000 2.7000 0
600.2000 27.1000 2.7000 0
567.0000 27.1000 2.7000 0
533.8000 27.1000 2.7000 0
500.6000 27.1000 2.7000 0
467.4000 27.1000 2.7000 0
434.2000 27.1000 2.7000 0
401.0000 27.1000 2.7000 0
372.9000 27.0300 2.6500 0
344.8000 26.9600 2.6000 0
316.7000 26.8900 2.5500 0
288.6000 26.8200 2.5000 0
260.5000 26.7500 2.4500 0
232.4000 26.6800 2.4000 0
204.3000 26.6100 2.3500 0
176.2000 26.5400 2.3000 0
148.1000 26.4700 2.2500 0
120.0000 26.4000 2.2000 0
117.2000 26.3900 2.2000 0
114.4000 26.3800 2.2000 0
111.6000 26.3700 2.2000 0
108.8000 26.3600 2.2000 0
106.0000 26.3500 2.2000 0
103.2000 26.3400 2.2000 0
100.4000 26.3300 2.2000 0
97.6000 26.3200 2.2000 0
94.8000 26.3100 2.2000 0
92.0000 26.3000 2.2000 0
93.9000 26.2400 2.2000 0
95.8000 26.1800 2.2000 0
97.7000 26.1200 2.2000 0
99.6000 26.0600 2.2000 0
101.5000 26.0000 2.2000 0
103.4000 25.9400 2.2000 0
105.3000 25.8800 2.2000 0
107.2000 25.8200 2.2000 0
109.1000 25.7600 2.2000 0
111.0000 25.7000 2.2000 0
114.2000 25.6800 2.2000 0
117.4000 25.6600 2.2000 0
120.6000 25.6400 2.2000 0
123.8000 25.6200 2.2000 0
127.0000 25.6000 2.2000 0
130.2000 25.5800 2.2000 0
133.4000 25.5600 2.2000 0
136.6000 25.5400 2.2000 0
139.8000 25.5200 2.2000 0
143.0000 25.5000 2.2000 0
142.4000 25.4900 2.2000 0
141.8000 25.4800 2.2000 0
141.2000 25.4700 2.2000 0
140.6000 25.4600 2.2000 0
140.0000 25.4500 2.2000 0
139.4000 25.4400 2.2000 0
138.8000 25.4300 2.2000 0
138.2000 25.4200 2.2000 0
137.6000 25.4100 2.2000 0
137.0000 25.4000 2.2000 0
150.6000 25.4000 2.1600 0
164.2000 25.4000 2.1200 0
177.8000 25.4000 2.0800 0
191.4000 25.4000 2.0400 0
205.0000 25.4000 2.0000 0
218.6000 25.4000 1.9600 0
232.2000 25.4000 1.9200 0
245.8000 25.4000 1.8800 0
259.4000 25.4000 1.8400 0
273.0000 25.4000 1.8000 0
291.0000 25.4300 1.7500 0
309.0000 25.4600 1.7000 0
327.0000 25.4900 1.6500 0
345.0000 25.5200 1.6000 0
363.0000 25.5500 1.5500 0
381.0000 25.5800 1.5000 0
399.0000 25.6100 1.4500 0
417.0000 25.6400 1.4000 0
435.0000 25.6700 1.3500 0
453.0000 25.7000 1.3000 0
445.6000 25.7200 1.3500 0
438.2000 25.7400 1.4000 0
430.8000 25.7600 1.4500 0
423.4000 25.7800 1.5000 0
416.0000 25.8000 1.5500 0
408.6000 25.8200 1.6000 0
401.2000 25.8400 1.6500 0
393.8000 25.8600 1.7000 0
386.4000 25.8800 1.7500 0
379.0000 25.9000 1.8000 0
373.0000 25.8900 1.8400 0
367.0000 25.8800 1.8800 0
361.0000 25.8700 1.9200 0
355.0000 25.8600 1.9600 0
349.0000 25.8500 2.0000 0
343.0000 25.8400 2.0400 0
337.0000 25.8300 2.0800 0
331.0000 25.8200 2.1200 0
325.0000 25.8100 2.1600 0
319.0000 25.8000 2.2000 0
301.7000 25.7900 2.1600 0
284.4000 25.7800 2.1200 0
267.1000 25.7700 2.0800 0
249.8000 25.7600 2.0400 0
232.5000 25.7500 2.0000 0
215.2000 25.7400 1.9600 0
197.9000 25.7300 1.9200 0
180.6000 25.7200 1.8800 0
163.3000 25.7100 1.8400 0
146.0000 25.7000 1.8000 0
140.0000 25.6700 1.7500 0
134.0000 25.6400 1.7000 0
128.0000 25.6100 1.6500 0
122.0000 25.5800 1.6000 0
116.0000 25.5500 1.5500 0
110.0000 25.5200 1.5000 0
104.0000 25.4900 1.4500 0
98.0000 25.4600 1.4000 0
92.0000 25.4300 1.3500 0
86.0000 25.4000 1.3000 0
87.8000 25.3800 1.3000 0
